R‚fD‚tailCommande;R‚fCommande;R‚fProduit;Quantit‚;PrixUnitaire;Remise;FORFAIT;PrixUnitaire?;PrixUnitaireht;TVA
336;349;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
337;350;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
339;352;60;1;8.500,00;0;TRUE;0,00;8.500,00;0,140000001
340;354;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
341;355;30;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
347;358;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
348;358;;1;0,00;0;FALSE;0,00;0,00;0,140000001
349;359;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
350;360;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
351;361;29;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
352;362;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
353;365;21;1;1.100,00;0;TRUE;0,00;1.100,00;0,140000001
354;366;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
355;367;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
356;368;2;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
357;369;36;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
358;371;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
359;372;21;1;11.000,00;0;TRUE;0,00;11.000,00;0,140000001
360;373;21;1;11.000,00;0;TRUE;0,00;11.000,00;0,140000001
361;374;63;1;0,00;0;TRUE;2.400,00;0,00;0,140000001
362;375;30;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
363;376;7;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
364;377;2;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
365;378;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
366;379;48;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
367;380;48;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
368;381;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
369;382;63;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
370;383;62;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
371;384;64;1;12.000,00;0;TRUE;0,00;12.000,00;0,140000001
372;385;63;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
373;386;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
374;387;21;1;11.000,00;0;TRUE;0,00;11.000,00;0,140000001
375;388;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
376;389;63;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
377;390;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
378;391;48;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
379;392;65;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
380;394;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
381;395;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
382;396;41;1;26.870,00;0;TRUE;0,00;26.870,00;0,140000001
383;397;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
384;398;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
385;399;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
386;400;21;1;11.000,00;0;TRUE;0,00;11.000,00;0,140000001
387;401;48;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
388;402;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
389;403;41;1;26.875,00;0;TRUE;0,00;26.875,00;0,140000001
390;404;63;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
391;405;66;1;0,00;0;TRUE;4.000,00;0,00;0,140000001
392;406;41;1;0,00;0;TRUE;2.500,00;0,00;0,140000001
393;407;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
394;408;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
395;410;41;1;25.200,00;0;TRUE;0,00;25.200,00;0
396;411;51;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
397;412;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
398;413;41;1;25.200,00;0;TRUE;0,00;25.200,00;0
399;414;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
400;416;41;1;25.200,00;0;TRUE;0,00;25.200,00;0
401;417;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
402;418;35;1;8.000,00;0;TRUE;0,00;8.000,00;0
403;419;35;1;8.000,00;0;TRUE;0,00;8.000,00;0
404;420;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
405;421;67;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
406;422;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
407;423;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
408;424;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
409;425;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
410;426;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
411;427;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
412;428;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
413;431;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
414;432;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
415;433;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
416;434;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
417;435;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
418;436;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
420;437;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
421;438;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
423;439;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
424;440;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
425;441;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
426;442;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
427;443;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
428;444;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
429;445;60;1;8.000,00;0;TRUE;0,00;8.000,00;0
430;446;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
431;447;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
432;448;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
433;449;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
434;450;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
435;451;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
436;452;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
437;453;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
438;454;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
439;455;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
